LocationAbbr,LocationDesc,Topic,Indicator,Data_Value_Type,Data_Value,Break_Out_Category,Break_Out,TopicId,IndicatorID,Data_Value_TypeID,BreakOutCategoryId,BreakOutId,LocationID
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,40.1,Age,35+,T14,NS011,Crude,BOC03,AGE07,59
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,26.9,Gender,Male,T15,NS010,Crude,BOC02,GEN01,9002
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,42.0,Race,Non-Hispanic Black,T14,NS011,Crude,BOC04,RAC02,9004
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,29.5,Age,25-44,T15,NS010,Crude,BOC03,AGE04,9002
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,21.1,Race,Non-Hispanic White,T15,NS010,AgeStdz,BOC04,RAC01,9001
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Other,T9,NS012,Crude,BOC04,RAC07,9004
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Hispanic,T9,NS012,Crude,BOC04,RAC04,9002
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,18.2,Race,Hispanic,T15,NS010,AgeStdz,BOC04,RAC04,59
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,18.9,Age,35+,T15,NS010,Crude,BOC03,AGE07,9001
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Gender,Male,T9,NS013,AgeStdz,BOC02,GEN01,9001
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,45-64,T9,NS012,Crude,BOC03,AGE05,59
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,27.5,Age,18-24,T14,NS011,Crude,BOC03,AGE01,59
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,22.1,Age,45-64,T15,NS010,Crude,BOC03,AGE05,9002
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,17.4,Race,Non-Hispanic Black,T15,NS010,Crude,BOC04,RAC02,9004
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,36.5,Race,Hispanic,T14,NS011,Crude,BOC04,RAC04,9002
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,28.1,Race,Non-Hispanic White,T14,NS011,Crude,BOC04,RAC01,59
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Age,65+,T9,NS013,Crude,BOC03,AGE06,59
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,6.1,Age,75+,T15,NS010,Crude,BOC03,AGE08,9003
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,21.5,Race,Non-Hispanic Black,T15,NS010,Crude,BOC04,RAC02,9001
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,5.8,Age,75+,T15,NS010,Crude,BOC03,AGE08,59
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,14.0,Race,Hispanic,T15,NS010,Crude,BOC04,RAC04,9004
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,21.1,Age,45-64,T15,NS010,Crude,BOC03,AGE05,59
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,19.7,Age,35+,T15,NS010,Crude,BOC03,AGE07,9003
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,15.1,Age,45-64,T15,NS010,Crude,BOC03,AGE05,9004
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,6.5,Age,65+,T15,NS010,Crude,BOC03,AGE06,9001
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,4.8,Age,75+,T15,NS010,Crude,BOC03,AGE08,9004
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Race,Hispanic,T9,NS013,AgeStdz,BOC04,RAC04,59
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,15.3,Overall,Overall,T15,NS010,Crude,BOC01,OVR01,9001
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,25.8,Race,Non-Hispanic White,T14,NS011,AgeStdz,BOC04,RAC01,9003
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,20.2,Gender,Male,T15,NS010,Crude,BOC02,GEN01,9001
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,13.0,Age,18-24,T15,NS010,Crude,BOC03,AGE01,59
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,14.4,Race,Hispanic,T15,NS010,AgeStdz,BOC04,RAC04,9004
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,55.8,Age,75+,T14,NS011,Crude,BOC03,AGE08,9001
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,18.6,Age,45-64,T15,NS010,Crude,BOC03,AGE05,9004
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,27.9,Gender,Male,T14,NS011,Crude,BOC02,GEN01,59
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,35+,T9,NS012,Crude,BOC03,AGE07,9001
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,31.1,Age,25-44,T14,NS011,Crude,BOC03,AGE04,9004
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,65+,T9,NS012,Crude,BOC03,AGE06,59
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,16.5,Gender,Female,T15,NS010,Crude,BOC02,GEN02,59
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,36.5,Age,45-64,T14,NS011,Crude,BOC03,AGE05,9002
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,18.8,Race,Hispanic,T15,NS010,AgeStdz,BOC04,RAC04,9002
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,24.4,Race,Non-Hispanic White,T15,NS010,AgeStdz,BOC04,RAC01,9002
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,18.4,Age,18-24,T15,NS010,Crude,BOC03,AGE01,9004
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Race,Other,T9,NS013,Crude,BOC04,RAC07,9004
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Race,Non-Hispanic Black,T9,NS013,AgeStdz,BOC04,RAC02,9002
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,6.6,Age,75+,T15,NS010,Crude,BOC03,AGE08,9003
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Other,T9,NS012,Crude,BOC04,RAC07,9002
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,21.8,Gender,Female,T15,NS010,Crude,BOC02,GEN02,9003
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,12.3,Race,Non-Hispanic Asian,T15,NS010,AgeStdz,BOC04,RAC03,9003
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,16.2,Gender,Female,T15,NS010,AgeStdz,BOC02,GEN02,59
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,8.9,Age,18-24,T15,NS010,Crude,BOC03,AGE01,9001
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,53.0,Age,75+,T14,NS011,Crude,BOC03,AGE08,9002
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,36.8,Gender,Female,T14,NS011,Crude,BOC02,GEN02,9003
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,50.7,Race,Hispanic,T14,NS011,Crude,BOC04,RAC04,9003
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,19.0,Race,Non-Hispanic Black,T15,NS010,AgeStdz,BOC04,RAC02,9001
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,23.6,Age,25-44,T15,NS010,Crude,BOC03,AGE04,9001
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,15.3,Race,Non-Hispanic Black,T15,NS010,AgeStdz,BOC04,RAC02,9001
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,24.0,Race,Other,T15,NS010,AgeStdz,BOC04,RAC07,9001
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Race,Non-Hispanic Black,T9,NS013,Crude,BOC04,RAC02,9001
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,45.5,Race,Non-Hispanic Black,T14,NS011,Crude,BOC04,RAC02,59
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,18-24,T9,NS012,Crude,BOC03,AGE01,9004
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,47.6,Race,Non-Hispanic Asian,T14,NS011,Crude,BOC04,RAC03,9001
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,18.8,Race,Hispanic,T15,NS010,Crude,BOC04,RAC04,9001
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,35.8,Age,35+,T14,NS011,Crude,BOC03,AGE07,9004
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Age,65+,T9,NS013,Crude,BOC03,AGE06,9002
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,18.5,Gender,Female,T15,NS010,AgeStdz,BOC02,GEN02,9002
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,18.8,Race,Non-Hispanic Black,T15,NS010,AgeStdz,BOC04,RAC02,9001
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,27.8,Race,Hispanic,T14,NS011,Crude,BOC04,RAC04,9004
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,32.4,Race,Non-Hispanic White,T14,NS011,Crude,BOC04,RAC01,9003
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,35.5,Race,Other,T15,NS010,Crude,BOC04,RAC07,9002
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,17.1,Overall,Overall,T15,NS010,AgeStdz,BOC01,OVR01,59
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,96.2,Age,65+,T9,NS013,Crude,BOC03,AGE06,9001
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,36.7,Gender,Female,T14,NS011,Crude,BOC02,GEN02,9001
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Gender,Male,T9,NS013,AgeStdz,BOC02,GEN01,9004
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,,Race,Other,T15,NS010,Crude,BOC04,RAC07,9001
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,24.7,Age,25-44,T15,NS010,Crude,BOC03,AGE04,9001
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,13.3,Age,45-64,T15,NS010,Crude,BOC03,AGE05,9004
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Non-Hispanic Black,T9,NS012,AgeStdz,BOC04,RAC02,9002
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,38.5,Age,35+,T14,NS011,Crude,BOC03,AGE07,9001
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,35+,T9,NS012,Crude,BOC03,AGE07,59
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Age-Standardized,46.2,Overall,Overall,T14,NS011,AgeStdz,BOC01,OVR01,9003
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,13.4,Race,Non-Hispanic Asian,T15,NS010,Crude,BOC04,RAC03,9003
WEST,West,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,15.7,Race,Hispanic,T15,NS010,Crude,BOC04,RAC04,9004
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,31.0,Overall,Overall,T14,NS011,Crude,BOC01,OVR01,59
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,18-24,T9,NS012,Crude,BOC03,AGE01,9003
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Overall,Overall,T9,NS012,AgeStdz,BOC01,OVR01,9003
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,16.9,Gender,Female,T15,NS010,Crude,BOC02,GEN02,9001
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,46.6,Race,Non-Hispanic Asian,T14,NS011,Crude,BOC04,RAC03,9001
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,24.8,Age,18-24,T14,NS011,Crude,BOC03,AGE01,9002
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,47.1,Age,75+,T14,NS011,Crude,BOC03,AGE08,9002
US,United States,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,29.4,Race,Other,T14,NS011,Crude,BOC04,RAC07,59
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Overall,Overall,T9,NS012,AgeStdz,BOC01,OVR01,9002
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,14.8,Age,35+,T15,NS010,Crude,BOC03,AGE07,9001
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,20.9,Gender,Female,T15,NS010,Crude,BOC02,GEN02,9002
US,United States,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,75+,T9,NS012,Crude,BOC03,AGE08,59
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Gender,Male,T9,NS013,Crude,BOC02,GEN01,9003
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Hispanic,T9,NS012,Crude,BOC04,RAC04,9002
SOU,South,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,31.9,Race,Non-Hispanic White,T14,NS011,Crude,BOC04,RAC01,9003
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Race,Other,T9,NS013,Crude,BOC04,RAC07,9001
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,29.3,Race,Other,T15,NS010,AgeStdz,BOC04,RAC07,9003
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Crude,,Age,25-44,T9,NS013,Crude,BOC03,AGE04,9004
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,31.7,Gender,Male,T14,NS011,Crude,BOC02,GEN01,9002
SOU,South,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Age-Standardized,20.0,Gender,Female,T15,NS010,AgeStdz,BOC02,GEN02,9003
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Other,T9,NS012,Crude,BOC04,RAC07,9003
WEST,West,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,19.9,Race,Other,T14,NS011,Crude,BOC04,RAC07,9004
NRE,Northeast,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years (18+); NHIS,Age-Standardized,,Race,Other,T9,NS013,AgeStdz,BOC04,RAC07,9001
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,45-64,T9,NS012,Crude,BOC03,AGE05,9002
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Age,18-24,T9,NS012,Crude,BOC03,AGE01,9003
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Other,T9,NS012,AgeStdz,BOC04,RAC07,9004
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,44.2,Race,Non-Hispanic Asian,T14,NS011,Crude,BOC04,RAC03,9001
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Other,T9,NS012,AgeStdz,BOC04,RAC07,9002
NRE,Northeast,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,54.0,Age,75+,T14,NS011,Crude,BOC03,AGE08,9001
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,28.4,Gender,Male,T15,NS010,Crude,BOC02,GEN01,9002
MDW,Midwest,Physical Inactivity,Prevalence of physical inactivity among US adults (18+); NHIS,Crude,27.5,Race,Hispanic,T14,NS011,Crude,BOC04,RAC04,9002
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Non-Hispanic White,T9,NS012,AgeStdz,BOC04,RAC01,9002
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic Asian,T9,NS012,Crude,BOC04,RAC03,9002
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Overall,Overall,T9,NS012,Crude,BOC01,OVR01,9003
SOU,South,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Overall,Overall,T9,NS012,Crude,BOC01,OVR01,9003
MDW,Midwest,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic Asian,T9,NS012,Crude,BOC04,RAC03,9002
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Age-Standardized,,Race,Other,T9,NS012,AgeStdz,BOC04,RAC07,9004
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,24.5,Age,25-44,T15,NS010,Crude,BOC03,AGE04,9001
NRE,Northeast,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,4.5,Age,75+,T15,NS010,Crude,BOC03,AGE08,9001
US,United States,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,14.8,Gender,Female,T15,NS010,Crude,BOC02,GEN02,59
MDW,Midwest,Smoking,Prevalence of current smoking among US adults (18+); NHIS,Crude,19.7,Gender,Male,T15,NS010,Crude,BOC02,GEN01,9002
WEST,West,Hypertension,Prevalence of adults who have had their blood pressure measured within the preceding 2 years and can state whether their blood pressure was normal or high (18+); NHIS,Crude,,Race,Non-Hispanic White,T9,NS012,Crude,BOC04,RAC01,9004
